shard_index,worker_id,status,num_docs,doc_start,doc_end,embed_time,prep_time,upload_time,compute_time,download_time,reshape_time,flush_time,fde_total,grpc_recv_time,grpc_send_time,remote_flush_time,end_to_end,worker_wall_total_s,storage_shard_wall_s,worker_get_shard_req_ts,worker_status_report_ts,storage_get_shard_recv_ts,storage_status_recv_ts,docs_per_sec,error_message
0,dcceris-gpu,success,12000,0,0,82.429811,0.021692,1.233837,0.125162,0.061293,0.049695,0.000000,1.744399,0.396600,1.772604,0.074617,86.538158,86.538158,86.536610,1780987415.795433,1780987502.333591,1780987415.799707,1780987502.336317,138.67,
1,dccbeta-gpu,success,12000,0,0,125.324391,0.029174,1.958803,0.184794,0.051113,0.068583,0.000000,2.682375,0.734320,16.757252,0.014900,145.747882,145.747883,145.745561,1780987426.263419,1780987572.011302,1780987426.258125,1780987572.003686,82.33,
2,dcceris-gpu,success,12000,0,0,82.200992,0.000430,0.659289,0.166145,0.060626,0.053436,0.000000,1.267417,0.426488,1.767491,0.070230,85.974702,85.974702,85.974387,1780987502.335613,1780987588.310315,1780987502.338825,1780987588.313212,139.58,
3,dccbeta-gpu,success,12000,0,0,131.847710,0.000603,0.531406,0.178841,0.033581,0.085587,0.000000,8.479938,1.402713,16.798491,0.073279,159.071039,159.071038,159.069760,1780987572.013852,1780987731.084891,1780987572.005993,1780987731.075753,75.44,
4,dcceris-gpu,success,12000,0,0,84.775876,0.000445,0.634358,0.170240,0.060621,0.046912,0.000000,1.161297,0.422024,1.772601,0.074588,88.421784,88.421785,88.421124,1780987588.312567,1780987676.734351,1780987588.315604,1780987676.736729,135.71,
5,dcceris-gpu,success,12000,0,0,85.348197,0.000542,0.632830,0.172451,0.060506,0.042748,0.000000,1.152839,0.442958,1.769275,0.075238,88.968255,88.968255,88.967722,1780987676.736197,1780987765.704452,1780987676.739239,1780987765.706961,134.88,
6,dccbeta-gpu,success,12000,0,0,131.562854,0.000639,0.527479,0.178356,0.033663,0.084772,0.000000,1.206487,1.318876,16.800491,0.075338,151.389466,151.389466,151.389361,1780987731.086993,1780987882.476459,1780987731.077328,1780987882.466689,79.27,
7,dcceris-gpu,success,12000,0,0,82.774911,0.000410,0.648743,0.168232,0.061019,0.046766,0.000000,1.172390,0.506075,1.774395,0.080303,86.527191,86.527192,86.526637,1780987765.706478,1780987852.233670,1780987765.709374,1780987852.236011,138.68,
8,dcceris-gpu,success,12000,0,0,82.221241,0.000406,0.650598,0.166675,0.060256,0.043623,0.000000,1.160099,0.468788,1.773995,0.075711,85.922149,85.922149,85.921786,1780987852.235527,1780987938.157677,1780987852.238378,1780987938.160164,139.66,
9,dccbeta-gpu,success,12000,0,0,127.524574,0.000649,0.523372,0.181574,0.042472,0.086502,0.000000,1.225230,0.854856,16.804826,0.074759,146.901068,146.901068,146.893742,1780987882.478525,1780988029.379593,1780987882.469024,1780988029.362766,81.69,
10,dcceris-gpu,success,12000,0,0,84.417487,0.000401,0.653310,0.162836,0.060841,0.045412,0.000000,1.168046,0.394760,1.952556,0.086245,88.212648,88.212648,88.211525,1780987938.159700,1780988026.372348,1780987938.162663,1780988026.374188,136.03,
11,dcceris-gpu,success,12000,0,0,85.020159,0.000404,0.652096,0.174077,0.060949,0.050169,0.000000,1.170277,0.393170,1.772949,0.079327,88.616378,88.616378,88.617226,1780988026.373497,1780988114.989876,1780988026.375215,1780988114.992441,135.42,
12,dccbeta-gpu,success,12000,0,0,132.428902,0.000639,0.516367,0.178414,0.033541,0.086726,0.000000,1.195422,1.302369,16.758483,0.035234,152.220577,152.220577,152.240579,1780988029.381728,1780988181.602306,1780988029.364059,1780988181.604638,78.83,
13,dcceris-gpu,success,12000,0,0,84.849654,0.000439,0.647526,0.170046,0.061558,0.068263,0.000000,1.212768,0.550694,1.773746,0.078744,88.734781,88.734782,88.734825,1780988114.991818,1780988203.726599,1780988114.994098,1780988203.728923,135.23,
14,dccbeta-gpu,success,3332,0,0,33.681515,0.000618,0.531286,0.061978,0.009470,0.023711,0.000000,0.734230,0.366595,4.677234,0.029273,39.811242,39.811243,39.813178,1780988181.604480,1780988221.415723,1780988181.605926,1780988221.419104,83.69,
