shard_index,worker_id,status,num_docs,embed_time,fde_total,grpc_send,remote_flush,end_to_end,worker_wall_total_s,storage_shard_wall_s,worker_get_shard_req_ts,worker_status_report_ts,storage_get_shard_recv_ts,storage_status_recv_ts,prep_time,upload_time,compute_time,download_time
0,dcceris-gpu,success,12000,82.4298,1.7444,1.7726,0.0746,86.5382,86.5382,86.5366,1780987415.795,1780987502.334,1780987415.800,1780987502.336,0.0217,1.2338,0.1252,0.0613
1,dccbeta-gpu,success,12000,125.3244,2.6824,16.7573,0.0149,145.7479,145.7479,145.7456,1780987426.263,1780987572.011,1780987426.258,1780987572.004,0.0292,1.9588,0.1848,0.0511
2,dcceris-gpu,success,12000,82.2010,1.2674,1.7675,0.0702,85.9747,85.9747,85.9744,1780987502.336,1780987588.310,1780987502.339,1780987588.313,0.0004,0.6593,0.1661,0.0606
3,dccbeta-gpu,success,12000,131.8477,8.4799,16.7985,0.0733,159.0710,159.0710,159.0698,1780987572.014,1780987731.085,1780987572.006,1780987731.076,0.0006,0.5314,0.1788,0.0336
4,dcceris-gpu,success,12000,84.7759,1.1613,1.7726,0.0746,88.4218,88.4218,88.4211,1780987588.313,1780987676.734,1780987588.316,1780987676.737,0.0004,0.6344,0.1702,0.0606
5,dcceris-gpu,success,12000,85.3482,1.1528,1.7693,0.0752,88.9683,88.9683,88.9677,1780987676.736,1780987765.704,1780987676.739,1780987765.707,0.0005,0.6328,0.1725,0.0605
6,dccbeta-gpu,success,12000,131.5629,1.2065,16.8005,0.0753,151.3895,151.3895,151.3894,1780987731.087,1780987882.476,1780987731.077,1780987882.467,0.0006,0.5275,0.1784,0.0337
7,dcceris-gpu,success,12000,82.7749,1.1724,1.7744,0.0803,86.5272,86.5272,86.5266,1780987765.706,1780987852.234,1780987765.709,1780987852.236,0.0004,0.6487,0.1682,0.0610
8,dcceris-gpu,success,12000,82.2212,1.1601,1.7740,0.0757,85.9221,85.9221,85.9218,1780987852.236,1780987938.158,1780987852.238,1780987938.160,0.0004,0.6506,0.1667,0.0603
9,dccbeta-gpu,success,12000,127.5246,1.2252,16.8048,0.0748,146.9011,146.9011,146.8937,1780987882.479,1780988029.380,1780987882.469,1780988029.363,0.0006,0.5234,0.1816,0.0425
10,dcceris-gpu,success,12000,84.4175,1.1680,1.9526,0.0862,88.2126,88.2126,88.2115,1780987938.160,1780988026.372,1780987938.163,1780988026.374,0.0004,0.6533,0.1628,0.0608
11,dcceris-gpu,success,12000,85.0202,1.1703,1.7729,0.0793,88.6164,88.6164,88.6172,1780988026.373,1780988114.990,1780988026.375,1780988114.992,0.0004,0.6521,0.1741,0.0609
12,dccbeta-gpu,success,12000,132.4289,1.1954,16.7585,0.0352,152.2206,152.2206,152.2406,1780988029.382,1780988181.602,1780988029.364,1780988181.605,0.0006,0.5164,0.1784,0.0335
13,dcceris-gpu,success,12000,84.8497,1.2128,1.7737,0.0787,88.7348,88.7348,88.7348,1780988114.992,1780988203.727,1780988114.994,1780988203.729,0.0004,0.6475,0.1700,0.0616
14,dccbeta-gpu,success,3332,33.6815,0.7342,4.6772,0.0293,39.8112,39.8112,39.8132,1780988181.604,1780988221.416,1780988181.606,1780988221.419,0.0006,0.5313,0.0620,0.0095
