shard_index,worker_id,status,num_docs,doc_start,doc_end,embed_time,prep_time,upload_time,compute_time,download_time,reshape_time,flush_time,fde_total,grpc_recv_time,grpc_send_time,remote_flush_time,end_to_end,worker_wall_total_s,storage_shard_wall_s,worker_get_shard_req_ts,worker_status_report_ts,storage_get_shard_recv_ts,storage_status_recv_ts,docs_per_sec,error_message
0,standalone-dcceris-System-Product-Name,success,12000,0,12000,81.232692,0.056745,1.180985,0.128758,0.060498,0.045817,4.448664,6.165668,0.000000,0.000000,0.000000,87.476565,87.476564,0.000000,1780995079.121218,1780995166.597783,0.000000,0.000000,137.18,
1,standalone-dcceris-System-Product-Name,success,12000,12000,24000,79.641835,0.000420,0.794272,0.118467,0.060238,0.041395,4.418042,5.672642,0.000000,0.000000,0.000000,85.393134,85.393133,0.000000,1780995166.778411,1780995252.171544,0.000000,0.000000,140.53,
2,standalone-dcceris-System-Product-Name,success,12000,24000,36000,84.633845,0.000508,0.815760,0.123170,0.061355,0.047560,4.672911,5.978553,0.000000,0.000000,0.000000,90.711798,90.711797,0.000000,1780995252.291533,1780995343.003330,0.000000,0.000000,132.29,
3,standalone-dcceris-System-Product-Name,success,12000,36000,48000,85.134500,0.000390,0.797072,0.123808,0.065823,0.050784,4.492380,5.767090,0.000000,0.000000,0.000000,90.981781,90.981780,0.000000,1780995343.161054,1780995434.142833,0.000000,0.000000,131.89,
4,standalone-dcceris-System-Product-Name,success,12000,48000,60000,87.376619,0.000558,0.896232,0.123358,0.064257,0.043154,4.612519,6.079967,0.000000,0.000000,0.000000,93.534981,93.534981,0.000000,1780995434.317119,1780995527.852100,0.000000,0.000000,128.29,
5,standalone-dcceris-System-Product-Name,success,12000,60000,72000,86.540334,0.000393,0.774926,0.123721,0.060499,0.043958,4.481293,5.697691,0.000000,0.000000,0.000000,92.338611,92.338610,0.000000,1780995527.986161,1780995620.324771,0.000000,0.000000,129.96,
6,standalone-dcceris-System-Product-Name,success,12000,72000,84000,84.296081,0.000394,0.765982,0.122843,0.060270,0.042782,4.469756,5.681524,0.000000,0.000000,0.000000,90.053053,90.053051,0.000000,1780995620.430935,1780995710.483986,0.000000,0.000000,133.25,
7,standalone-dcceris-System-Product-Name,success,12000,84000,96000,83.049272,0.000387,0.773922,0.120986,0.060397,0.041455,4.478418,5.681800,0.000000,0.000000,0.000000,88.810268,88.810267,0.000000,1780995710.619675,1780995799.429943,0.000000,0.000000,135.12,
8,standalone-dcceris-System-Product-Name,success,12000,96000,108000,82.232968,0.000390,0.782852,0.119991,0.060365,0.041276,4.494386,5.715570,0.000000,0.000000,0.000000,88.024305,88.024304,0.000000,1780995799.552630,1780995887.576934,0.000000,0.000000,136.33,
9,standalone-dcceris-System-Product-Name,success,12000,108000,120000,82.941311,0.000474,0.838002,0.119508,2.760324,2.315308,5.136001,30.300883,0.000000,0.000000,0.000000,113.348223,113.348222,0.000000,1780995887.723272,1780996001.071494,0.000000,0.000000,105.87,
10,standalone-dcceris-System-Product-Name,success,12000,120000,132000,83.412858,0.000402,0.834441,0.122988,2.546801,1.811799,5.750254,27.486206,0.000000,0.000000,0.000000,110.987141,110.987141,0.000000,1780996001.291882,1780996112.279022,0.000000,0.000000,108.12,
11,standalone-dcceris-System-Product-Name,success,12000,132000,144000,82.758966,0.000385,0.847206,0.123158,0.060248,0.041737,4.534508,5.844891,0.000000,0.000000,0.000000,88.685426,88.685426,0.000000,1780996112.422574,1780996201.108000,0.000000,0.000000,135.31,
12,standalone-dcceris-System-Product-Name,success,12000,144000,156000,84.544720,0.000368,0.796295,0.122981,0.060317,0.040176,4.526495,5.750027,0.000000,0.000000,0.000000,90.369509,90.369508,0.000000,1780996201.255998,1780996291.625505,0.000000,0.000000,132.79,
13,standalone-dcceris-System-Product-Name,success,12000,156000,168000,84.184927,0.000369,0.769923,0.123426,0.060211,0.040399,4.530360,5.721362,0.000000,0.000000,0.000000,89.980418,89.980418,0.000000,1780996291.788529,1780996381.768947,0.000000,0.000000,133.36,
14,standalone-dcceris-System-Product-Name,success,3332,168000,171332,23.076887,0.000361,0.302811,0.031869,0.016765,0.011724,1.555759,1.971839,0.000000,0.000000,0.000000,25.077939,25.077938,0.000000,1780996381.912804,1780996406.990742,0.000000,0.000000,132.87,
